"Page","Pageviews","Unique Pageviews","Avg. Time on Page","Entrances","Bounce Rate","% Exit"
"/","4,251","3,242","00:01:09","2,650","33.96%","31.59%"
"/?p=4259&preview=true",12,2,"00:03:09",0,"0.00%","0.00%"
"/2010/10/29/short-note-trait-diversification-rates-controlled-by-other-traits.html",7,7,"00:01:36",1,"100.00%","85.71%"
"/2010/11/03/getting-the-details-right-on-the-fourier-transform-approach-to-likelihood.html",18,18,"00:00:00",6,"100.00%","100.00%"
"/2010/11/07/welcome-to-my-lab-notebook.html",115,79,"00:02:43",16,"50.00%","38.26%"
"/2011/01/19/robert-hijmans-on-models-to-predict-sp-response-to-climate-change.html",8,8,"00:01:01",1,"100.00%","87.50%"
"/2011/01/31/more-phylogenetic-signal-metrics-brownie-comparison.html",9,7,"00:00:37",6,"50.00%","66.67%"
"/2011/02/16/citation-tools-future-of-publishing.html",9,6,"00:02:53",2,"100.00%","66.67%"
"/2011/02/25/phyloseminar-luke-harmon.html",8,6,"00:06:45",2,"50.00%","75.00%"
"/2011/03/15/models-in-phylogenetic-inference.html",56,49,"00:06:00",1,"100.00%","87.50%"
"/2011/03/19/approximate-bayesian-computing-abc-methods.html",19,18,"00:02:19",1,"100.00%","73.68%"
"/2011/04/17/treepar-changing-rates-of-evolution.html",16,11,"00:02:54",3,"66.67%","62.50%"
"/2011/05/06/mendeley-api-in-r.html",14,12,"00:00:41",4,"75.00%","78.57%"
"/2011/05/08/building-a-semantic-notebook.html",16,14,"00:01:38",4,"75.00%","56.25%"
"/2011/05/18/birth-death-tutorial-for-pbg-core.html",13,11,"00:01:51",2,"100.00%","84.62%"
"/2011/05/19/algorithms-group-mcmcmc.html",24,20,"00:00:54",5,"60.00%","79.17%"
"/2011/05/22/end-of-nceas-the-legacy-of-synthetic-data.html",15,9,"00:08:03",4,"100.00%","60.00%"
"/2011/07/07/segue-easy-cloud-computing-in-r-now-with-custom-packages.html",33,29,"00:05:52",9,"100.00%","84.85%"
"/2011/07/08/141-scientists-cant-be-wrong.html",12,7,"00:00:51",1,"0.00%","58.33%"
"/2011/08/16/monday-evolution-manuscript-revisions-early-burst-models-etc.html",7,4,"00:00:43",0,"0.00%","42.86%"
"/2011/08/26/fishbase-from-r-some-xml-parsing.html",12,11,"00:17:34",6,"100.00%","91.67%"
"/2011/08/26/rfishbase-and-some-taxonomy-in-r-with-taxize.html",11,9,"00:00:48",3,"66.67%","81.82%"
"/2011/09/02/rfishbase-demo.html",11,7,"00:04:39",0,"0.00%","27.27%"
"/2011/09/09/how-google-views-me-by-search-terms-or-citation-counts.html",12,8,"00:00:28",1,"100.00%","66.67%"
"/2011/10/12/rfishbase-tutorial-updated-extended.html",13,10,"00:01:54",1,"0.00%","38.46%"
