Year    PDO_Reconstruction
 993       0.610972
 994       0.398854
 995       -0.90431
 996      -0.084949
 997       0.143107
 998      -0.302822
 999       0.487957
1000        0.78263
1001       0.096265
1002      -1.182662
1003       -1.08856
1004      -0.721918
1005      -1.811442
1006      -1.636119
1007      -1.557574
1008      -1.278072
1009      -0.634053
1010      -0.420506
1011      -0.595148
1012      -0.615128
1013      -1.404196
1014      -0.876231
1015      -0.766742
1016      -0.874224
1017      -0.672612
1018       -0.29844
1019      -1.014836
1020      -0.908856
1021      -0.564654
1022      -0.697949
1023      -0.472793
1024      -1.075726
1025      -1.406949
1026      -1.743798
1027      -1.692331
1028       -1.41769
1029      -1.055025
1030      -0.660392
1031      -1.164732
1032        -1.8232
1033      -1.730899
1034      -1.553514
1035      -1.715771
1036      -1.389029
1037      -1.261503
1038      -1.603696
1039      -1.711388
1040      -1.331025
1041      -1.259484
1042      -1.572729
1043      -2.098637
1044      -2.032666
1045      -1.488919
1046      -0.680744
1047      -1.964579
1048      -1.972432
1049       -1.24561
1050       -0.63808
1051      -0.353681
1052       -0.73183
1053      -1.034759
1054      -1.338263
1055      -1.275902
1056       -1.18306
1057       -0.68862
1058      -1.151295
1059      -1.589114
1060      -1.348268
1061      -0.721187
1062      -1.513371
1063      -1.328924
1064      -0.963789
1065      -1.407793
1066      -1.512335
1067       -1.70579
1068      -1.704043
1069      -1.356449
1070      -1.005761
1071       -0.78434
1072      -1.257634
1073      -1.318024
1074       -1.87775
1075      -0.953864
1076       -0.98513
1077      -0.860277
1078      -0.609671
1079      -0.769308
1080       -0.31998
1081       -0.06767
1082      -0.180393
1083      -0.568871
1084       0.176556
1085        0.54737
1086      -0.125704
1087      -0.696355
1088      -0.323303
1089      -0.868453
1090      -0.836803
1091      -0.599694
1092      -0.015811
1093      -1.122061
1094      -1.381153
1095       -1.27344
1096      -0.590176
1097      -0.183164
1098      -0.655316
1099      -0.892356
1100      -0.042688
1101      -0.778147
1102      -1.166141
1103      -1.277443
1104      -0.900226
1105      -0.595082
1106      -0.554687
1107      -0.229431
1108      -0.592911
1109      -0.304366
1110      -0.348862
1111      -0.280658
1112        -0.5546
1113      -1.584251
1114      -1.695654
1115      -0.833832
1116      -0.810894
1117      -0.399839
1118      -0.190328
1119       -0.38025
1120      -1.053086
1121      -2.063962
1122      -0.995217
1123       -0.97924
1124       -0.59804
1125      -1.184244
1126      -2.021974
1127      -2.075859
1128       -1.62641
1129      -1.078963
1130      -0.975118
1131      -1.082897
1132      -1.646889
1133      -1.990093
1134      -2.242722
1135      -1.906085
1136      -1.626903
1137      -1.333253
1138      -1.318408
1139      -0.847591
1140      -0.562991
1141      -0.671182
1142      -1.446561
1143       -1.43945
1144      -1.133246
1145      -0.603797
1146      -1.372836
1147      -1.509173
1148      -0.982903
1149      -1.003451
