"SpecCode","Genus","Species","SpeciesRefNo","Author","SubFamily","FamCode","GenCode","SubGenCode","Remark","Family","Order","Class"
7633,"Acantholabrus","palloni",5292,"(Risso, 1810)",NA,362,516,NA,NA,"Labridae","Perciformes","Actinopterygii"
14420,"Achoerodus","gouldii",9563,"(Richardson, 1843)",NA,362,1561,NA,NA,"Labridae","Perciformes","Actinopterygii"
50808,"Achoerodus","viridis",26878,"(Steindachner, 1866)",NA,362,1561,NA,NA,"Labridae","Perciformes","Actinopterygii"
59627,"Ammolabrus","dicrus",35918,"Randall & Carlson, 1997","Xyrichtyinae",362,8182,NA,NA,"Labridae","Perciformes","Actinopterygii"
4888,"Anampses","caeruleopunctatus",9823,"Rüppell, 1829","Corinae",362,2659,NA,NA,"Labridae","Perciformes","Actinopterygii"
4919,"Anampses","chrysocephalus",2677,"Randall, 1958","Corinae",362,2659,NA,NA,"Labridae","Perciformes","Actinopterygii"
4916,"Anampses","cuvier",2677,"Quoy & Gaimard, 1824","Corinae",362,2659,NA,NA,"Labridae","Perciformes","Actinopterygii"
4918,"Anampses","elegans",2677,"Ogilby, 1889","Corinae",362,2659,NA,NA,"Labridae","Perciformes","Actinopterygii"
4892,"Anampses","femininus",2677,"Randall, 1972","Corinae",362,2659,NA,NA,"Labridae","Perciformes","Actinopterygii"
4891,"Anampses","geographicus",9823,"Valenciennes, 1840","Corinae",362,2659,NA,NA,"Labridae","Perciformes","Actinopterygii"
4917,"Anampses","lennardi",2677,"Scott, 1959","Corinae",362,2659,NA,NA,"Labridae","Perciformes","Actinopterygii"
7800,"Anampses","lineatus",4392,"Randall, 1972","Corinae",362,2659,NA,NA,"Labridae","Perciformes","Actinopterygii"
5622,"Anampses","melanurus",1602,"Bleeker, 1857","Corinae",362,2659,NA,NA,"Labridae","Perciformes","Actinopterygii"
4889,"Anampses","meleagrides",2677,"Valenciennes, 1840","Corinae",362,2659,NA,NA,"Labridae","Perciformes","Actinopterygii"
4890,"Anampses","neoguinaicus",9823,"Bleeker, 1878","Corinae",362,2659,NA,NA,"Labridae","Perciformes","Actinopterygii"
4893,"Anampses","twistii",9823,"Bleeker, 1856","Corinae",362,2659,NA,NA,"Labridae","Perciformes","Actinopterygii"
14328,"Anchichoerops","natalensis",5374,"(Gilchrist & Thompson, 1909)",NA,362,9038,NA,NA,"Labridae","Perciformes","Actinopterygii"
47036,"Austrolabrus","maculatus",26203,"(Macleay, 1881)",NA,362,1765,NA,NA,"Labridae","Perciformes","Actinopterygii"
66314,"Bodianus","albotaeniatus",88079,"(Valenciennes, 1839)","Bodianinae",362,1995,NA,NA,"Labridae","Perciformes","Actinopterygii"
5497,"Bodianus","anthioides",75973,"(Bennett, 1832)","Bodianinae",362,1995,NA,NA,"Labridae","Perciformes","Actinopterygii"
5498,"Bodianus","axillaris",9823,"(Bennett, 1832)","Bodianinae",362,1995,NA,NA,"Labridae","Perciformes","Actinopterygii"
64025,"Bodianus","bathycapros",75973,"Gomon, 2006","Bodianinae",362,1995,NA,NA,"Labridae","Perciformes","Actinopterygii"
6580,"Bodianus","bilunulatus",9823,"(Lacepède, 1801)","Bodianinae",362,1995,NA,NA,"Labridae","Perciformes","Actinopterygii"
5499,"Bodianus","bimaculatus",75973,"Allen, 1973","Bodianinae",362,1995,NA,NA,"Labridae","Perciformes","Actinopterygii"
