"genus","species","sex","commonName","authority","trait_label","trait_value","trait_units","Trait error (+/- 1 se)","population","latitudePoint","longitudePoint","latitudeMin","latitudeMax","longitudeMin","longitudeMax","n in population","reference",
"Drosophila","simulans","male","fruit fly",,"development_time",257,"hours",3,"Maryborough",-25.5,,"25deg 33m S","25deg 33m S",,,,"10.1111/j.1420-9101.2008.01617.x","Arthur2008"
"Drosophila","simulans","male","fruit fly",,"development_time",250,"hours",3,"Brisbane","27d37m S",,"27d37m S","27d37m S",,,,"10.1111/j.1420-9101.2008.01617.x","Arthur2008"
"Drosophila","simulans","male","fruit fly",,"development_time",262,"hours",3,"Kingscliff","28d16",,"28d16","28d16",,,,"10.1111/j.1420-9101.2008.01617.x","Arthur2008"
"Drosophila","simulans","male","fruit fly",,"development_time",255,"hours",3,"Red Rock","29d59",,"29d59","29d59",,,,"10.1111/j.1420-9101.2008.01617.x","Arthur2008"
"Drosophila","simulans","male","fruit fly",,"development_time",256,"hours",3,"Tuncurry","32d11",,"32d11","32d11",,,,"10.1111/j.1420-9101.2008.01617.x","Arthur2008"
"Drosophila","simulans","male","fruit fly",,"development_time",265,"hours",3,"Sydney","33d57",,"33d57","33d57",,,,"10.1111/j.1420-9101.2008.01617.x","Arthur2008"
"Drosophila","simulans","male","fruit fly",,"development_time",260,"hours",3,"Moruya","35d55",,"35d55","35d55",,,,"10.1111/j.1420-9101.2008.01617.x","Arthur2008"
"Drosophila","simulans","male","fruit fly",,"development_time",260,"hours",1,"Greensborough","37d42",,"37d42","37d42",,,,"10.1111/j.1420-9101.2008.01617.x","Arthur2008"
"Drosophila","simulans","male","fruit fly",,"development_time",266,"hours",3,"Legana","41d21",,"41d21","41d21",,,,"10.1111/j.1420-9101.2008.01617.x","Arthur2008"
"Drosophila","simulans","male","fruit fly",,"development_time",256,"hours",3,"Sorell","42d46",,"42d46","42d46",,,,"10.1111/j.1420-9101.2008.01617.x","Arthur2008"
"Drosophila","simulans","male","fruit fly",,"wing_size",1.93,"mm",0.02,"Maryborough","25deg 33m S",,"25deg 33m S","25deg 33m S",,,,"10.1111/j.1420-9101.2008.01617.x","Arthur2008"
"Drosophila","simulans","male","fruit fly",,"wing_size",1.92,"mm",0.02,"Brisbane","27d37m S",,"27d37m S","27d37m S",,,,"10.1111/j.1420-9101.2008.01617.x","Arthur2008"
"Drosophila","simulans","male","fruit fly",,"wing_size",1.93,"mm",0.02,"Kingscliff","28d16",,"28d16","28d16",,,,"10.1111/j.1420-9101.2008.01617.x","Arthur2008"
"Drosophila","simulans","male","fruit fly",,"wing_size",1.93,"mm",0.02,"Red Rock","29d59",,"29d59","29d59",,,,"10.1111/j.1420-9101.2008.01617.x","Arthur2008"
"Drosophila","simulans","male","fruit fly",,"wing_size",1.96,"mm",0.02,"Tuncurry","32d11",,"32d11","32d11",,,,"10.1111/j.1420-9101.2008.01617.x","Arthur2008"
"Drosophila","simulans","male","fruit fly",,"wing_size",1.95,"mm",0.02,"Sydney","33d57",,"33d57","33d57",,,,"10.1111/j.1420-9101.2008.01617.x","Arthur2008"
"Drosophila","simulans","male","fruit fly",,"wing_size",1.96,"mm",0.02,"Moruya","35d55",,"35d55","35d55",,,,"10.1111/j.1420-9101.2008.01617.x","Arthur2008"
"Drosophila","simulans","male","fruit fly",,"wing_size",1.97,"mm",0.02,"Greensborough","37d42",,"37d42","37d42",,,,"10.1111/j.1420-9101.2008.01617.x","Arthur2008"
"Drosophila","simulans","male","fruit fly",,"wing_size",1.97,"mm",0.02,"Legana","41d21",,"41d21","41d21",,,,"10.1111/j.1420-9101.2008.01617.x","Arthur2008"
"Drosophila","simulans","male","fruit fly",,"wing_size",1.99,"mm",0.02,"Sorell","42d46",,"42d46","42d46",,,,"10.1111/j.1420-9101.2008.01617.x","Arthur2008"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Drosophila","melanogaster","female","fruit fly",,"diapause incidence",0.33,"frequency in population",,"Homestead, Fl",25.46,-80.45,25.46,25.46,-80.45,-80.45,,"10.1111/j.0014-3820.2005.tb01821.x","Schmidt et al 2005 "
"Drosophila","melanogaster","female","fruit fly",,"diapause incidence",0.34,"frequency in population",,"Meritt Island, Fl",28.31,-80.66,28.31,28.31,-80.66,-80.66,,"10.1111/j.0014-3820.2005.tb01821.x","Schmidt et al 2005 "
"Drosophila","melanogaster","female","fruit fly",,"diapause incidence",0.31,"frequency in population",,"Jacksonville, Florida",30.33,-81.66,30.33,30.33,-81.66,-81.66,,"10.1111/j.0014-3820.2005.tb01821.x","Schmidt et al 2005 "
"Drosophila","melanogaster","female","fruit fly",,"diapause incidence",0.52,"frequency in population",,"Macon, Georgia",32.84,-83.66,32.84,32.84,-83.66,-83.66,,"10.1111/j.0014-3820.2005.tb01821.x","Schmidt et al 2005 "
"Drosophila","melanogaster","female","fruit fly",,"diapause incidence",0.5,"frequency in population",,"Smithfield, NC",35.51,-78.34,35.51,35.51,-78.34,-78.34,,"10.1111/j.0014-3820.2005.tb01821.x","Schmidt et al 2005 "
"Drosophila","melanogaster","female","fruit fly",,"diapause incidence",0.5,"frequency in population",,"Richmond, VA",37.53,-77.47,37.53,37.53,-77.47,-77.47,,"10.1111/j.0014-3820.2005.tb01821.x","Schmidt et al 2005 "
"Drosophila","melanogaster","female","fruit fly",,"diapause incidence",0.57,"frequency in population",,"Chruchville, Maryland",39.44,-76.62,39.44,39.44,-76.62,-76.62,,"10.1111/j.0014-3820.2005.tb01821.x","Schmidt et al 2005 "
"Drosophila","melanogaster","female","fruit fly",,"diapause incidence",0.55,"frequency in population",,"Lancaster, PA",40.04,-76.3,40.04,40.04,-76.3,-76.3,,"10.1111/j.0014-3820.2005.tb01821.x","Schmidt et al 2005 "
"Drosophila","melanogaster","female","fruit fly",,"diapause incidence",0.6,"frequency in population",,"Middlefiled, Connecticut",41.52,-72.71,41.52,41.52,-72.71,-72.71,,"10.1111/j.0014-3820.2005.tb01821.x","Schmidt et al 2005 "
"Drosophila","melanogaster","female","fruit fly",,"diapause incidence",0.9,"frequency in population",,"Concord, Mass",42.46,-71.36,42.46,42.46,-71.36,-71.36,,"10.1111/j.0014-3820.2005.tb01821.x","Schmidt et al 2005 "
"Drosophila","melanogaster","female","fruit fly",,"diapause incidence",0.75,"frequency in population",,"Whiting, Vermont",43.86,-73.2,43.86,43.86,-73.2,-73.2,,"10.1111/j.0014-3820.2005.tb01821.x","Schmidt et al 2005 "
